currency,COP,label.colPesos,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,USD,label.dollar,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,EUR,label.euro,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/20/2012,1779.81,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/21/2012,1779.81,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/22/2012,1777.59,-0.1249,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/23/2012,1781.57,0.2234,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/24/2012,1776.11,-0.3074,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/25/2012,1772.42,-0.2082,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/26/2012,1772.42,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/27/2012,1772.42,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/28/2012,1777.27,0.2729,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,2/29/2012,1767.83,-0.534,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/1/2012,1766.85,-0.0555,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/2/2012,1770.7,0.2174,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/3/2012,1775.69,0.281,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/4/2012,1775.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/5/2012,1775.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/6/2012,1774.03,-0.0936,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/7/2012,1779.32,0.2973,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/8/2012,1773.88,-0.3067,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/9/2012,1765.06,-0.4997,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/10/2012,1762.08,-0.1691,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/11/2012,1762.08,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/12/2012,1762.08,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/13/2012,1766.1,0.2276,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/14/2012,1760.77,-0.3027,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/15/2012,1761.04,0.0153,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/16/2012,1761.02,-0.0011,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/17/2012,1758.38,-0.1501,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/18/2012,1758.38,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/19/2012,1758.38,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/20/2012,1758.38,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/21/2012,1759.78,0.0796,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/22/2012,1758.03,-0.0995,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/23/2012,1761.87,0.218,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/24/2012,1760.17,-0.0966,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/25/2012,1760.17,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/26/2012,1760.21,0.0023,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/27/2012,1759.58,-0.0358,TRUE,,,,,,,,,,,,,,,,,,,,,
