Oman Rial,Oman,OMR,,65020,,,fdfc,,,TRUE
Pakistan Rupee,Pakistan,PKR,,8360,,,20a8,,,TRUE
Panama Balboa,Panama,PAB,B/.,66,47,46,42,2f,2e,TRUE
Paraguay Guarani,Paraguay,PYG,Gs,71,115,,47,73,,TRUE
Peru Nuevo Sol,Peru,PEN,S/.,83,47,46,53,2f,2e,TRUE
Philippines Peso,Philippines,PHP,,8369,,,20b1,,,TRUE
Poland Zloty,Poland,PLN,z,122,322,,7a,142,,TRUE
Qatar Riyal,Qatar,QAR,,65020,,,fdfc,,,TRUE
Romania New Leu,Romania,RON,lei,108,101,105,6c,65,69,TRUE
Russia Ruble,Russian Federation,RUB,,1088,1091,1073,440,443,431,TRUE
Saint Helena Pound,Saint Helena,SHP,£,163,,,a3,,,TRUE
Saudi Arabia Riyal,Saudi Arabia,SAR,,65020,,,fdfc,,,TRUE
Serbia Dinar,Serbia,RSD,.,1044,1080,1095,414,438,43d,TRUE
Seychelles Rupee,Seychelles,SCR,,8360,,,20a8,,,TRUE
Singapore Dollar,Singapore,SGD,$,36,,,24,,,TRUE
Solomon Islands Dollar,Solomon Islands,SBD,$,36,,,24,,,TRUE
Somalia Shilling,Somalia,SOS,S,83,,,53,,,TRUE
South Africa Rand,South Africa,ZAR,R,82,,,52,,,TRUE
Sri Lanka Rupee,Sri Lanka,LKR,,8360,,,20a8,,,TRUE
Suriname Dollar,Suriname,SRD,$,36,,,24,,,TRUE
Sweden Krona,Sweden,SEK,kr,107,114,,6b,72,,TRUE
Switzerland Franc,Switzerland,CHF,CHF,67,72,70,43,48,46,TRUE
Syria Pound,Syria Syrian Arab Republic,SYP,£,163,,,a3,,,TRUE
Taiwan New Dollar,Taiwan (Republic of China),TWD,NT$,78,84,36,4e,54,24,TRUE
Thailand Baht,Thailand,THB,,3647,,,e3f,,,TRUE
Trinidad and Tobago Dollar,Trinidad and Tobago,TTD,TT$,84,84,36,54,54,24,TRUE
Turkey Lira,Turkey,TRL,,8356,,,20a4,,,TRUE
Tuvalu Dollar,Tuvalu,TVD,$,36,,,24,,,TRUE
Ukraine Hryvnia,Ukraine,UAH,,8372,,,20b4,,,TRUE
United Kingdom Pound,United Kingdom,GBP,£,163,,,a3,,,TRUE
United States Dollar,United States,USD,$,36,,,24,,,TRUE
Uruguay Peso,Uruguay,UYU,$U,36,85,,24,55,,TRUE
Uzbekistan Som,Uzbekistan,UZS,,1083,1074,,43b,432,,TRUE
Venezuela Bolivar,Venezuela,VEF,Bs,66,115,,42,73,,TRUE
Viet Nam Dong,Vietnam,VND,,8363,,,20ab,,,TRUE
Yemen Rial,Yemen,YER,,65020,,,fdfc,,,TRUE
Zimbabwe Dollar,Zimbabwe,ZWD,Z$,90,36,,5a,24,,TRUE
